Pack Voltage (V),Pack Current (A),Pack Power (W),SoC (%),SoH (%),Battery Temp (°C),Battery Status
344.94,-31.91,-11006.96,49.89,84.99,45.55,Non-Healthy
414.09,-7.97,-3299.97,46.63,92.4,26.46,Healthy
387.84,106.36,41252.22,34.09,86.88,32.13,Healthy
371.84,-48.0,-17847.78,68.58,72.5,43.21,Non-Healthy
318.72,110.89,35344.67,58.13,75.57,36.87,Non-Healthy
318.72,-123.56,-39380.86,89.26,76.58,45.85,Non-Healthy
306.97,83.04,25490.65,22.57,77.74,53.64,Non-Healthy
403.94,104.26,42116.64,71.51,86.96,24.08,Healthy
372.13,-95.45,-35521.92,81.04,85.12,44.83,Healthy
384.97,-20.9,-8044.32,80.76,76.09,28.06,Non-Healthy
302.47,-100.35,-30352.9,90.89,72.03,34.51,Non-Healthy
416.39,61.98,25808.32,78.32,75.14,21.15,Non-Healthy
399.89,10.6,4240.6,94.22,99.53,24.76,Healthy
325.48,40.6,13213.54,46.61,84.06,31.19,Non-Healthy
321.82,-91.05,-29302.88,60.26,96.02,31.97,Healthy
322.01,-86.48,-27846.09,21.13,95.46,51.49,Non-Healthy
336.51,-137.55,-46287.09,20.56,85.35,45.96,Healthy
362.97,-53.38,-19375.29,39.21,91.2,54.03,Non-Healthy
351.83,17.92,6306.05,28.06,75.78,40.97,Non-Healthy
334.95,107.38,35966.82,40.82,90.65,28.46,Healthy
373.42,50.08,18700.33,34.16,78.17,31.47,Non-Healthy
316.74,-19.38,-6138.76,22.28,94.96,31.19,Healthy
335.06,135.94,45546.37,92.74,72.51,31.43,Non-Healthy
343.96,65.77,22623.7,20.66,93.19,43.55,Healthy
354.73,129.05,45777.54,78.89,73.0,38.58,Non-Healthy
394.22,8.28,3262.73,32.17,96.44,33.49,Healthy
323.96,-72.33,-23431.67,92.98,79.13,25.22,Non-Healthy
361.71,-134.15,-48523.87,91.42,89.63,20.77,Healthy
371.09,67.83,25169.33,72.31,84.63,27.66,Non-Healthy
305.57,-113.61,-34715.99,73.78,80.99,23.76,Non-Healthy
372.91,-59.17,-22063.86,20.43,89.36,47.49,Healthy
320.46,9.74,3121.72,98.79,98.43,23.94,Healthy
307.81,19.32,5948.35,90.23,71.24,45.35,Non-Healthy
413.87,30.17,12488.4,91.61,97.57,33.5,Healthy
415.88,-100.12,-41638.9,72.74,88.27,22.57,Healthy
397.01,-36.08,-14323.55,47.58,94.22,48.45,Healthy
336.55,35.16,11832.64,91.49,81.52,40.29,Non-Healthy
311.72,140.95,43935.67,43.32,84.16,28.25,Non-Healthy
382.11,68.29,26093.9,65.02,96.07,51.31,Non-Healthy
352.82,126.78,44730.7,27.98,82.45,21.58,Non-Healthy
314.64,78.66,24751.08,93.76,86.04,27.06,Healthy
359.42,27.52,9889.51,31.26,70.61,46.32,Non-Healthy
