Motor RPM,Motor Temp (°C),Motor Current (A),Torque (Nm),Motor Status
3309.05,53.64,59.16,339.93,Good
7630.36,108.73,69.31,246.92,Faulty
5989.95,41.6,131.82,158.37,Good
4989.94,94.8,152.61,32.04,Good
1670.14,39.1,151.16,274.29,Good
1669.96,86.08,104.43,138.0,Good
935.63,62.05,163.11,192.43,Good
6996.32,101.0,90.23,275.87,Faulty
5008.36,51.03,29.16,365.59,Good
5810.54,87.53,115.07,331.92,Good
654.38,51.21,190.7,185.73,Faulty
7774.32,94.23,159.63,161.24,Good
6743.32,108.63,117.85,103.51,Faulty
2092.54,41.41,131.13,155.25,Good
1863.69,107.99,186.46,53.31,Faulty
1875.53,83.42,88.53,388.73,Good
2781.82,41.44,69.62,233.83,Good
4435.67,68.48,195.56,59.84,Faulty
3739.59,44.48,173.37,147.59,Good
2684.22,93.03,67.99,223.35,Good
5088.9,98.3,95.44,217.83,Good
1546.2,39.52,85.94,23.85,Good
2691.08,75.55,34.07,380.83,Good
3247.71,103.32,191.77,117.4,Faulty
3920.52,114.25,83.84,16.31,Faulty
6388.82,76.22,175.69,39.81,Good
1997.55,115.53,41.92,236.28,Faulty
4356.76,78.21,111.83,63.74,Good
4943.11,65.48,9.67,26.27,Good
848.38,106.34,154.02,158.05,Faulty
5056.59,74.37,118.28,252.88,Good
1778.93,72.47,126.99,53.62,Good
987.89,74.13,15.09,132.2,Good
7616.64,106.21,46.15,172.93,Faulty
7742.24,104.87,19.49,72.19,Faulty
6562.98,66.32,61.34,207.37,Good
2784.6,60.0,127.35,43.23,Good
1232.54,74.27,115.41,28.14,Good
5631.75,81.55,124.37,212.74,Good
3801.14,51.45,112.1,106.68,Good
1415.29,101.46,58.24,47.2,Faulty
4213.83,73.78,52.68,175.33,Good
757.91,60.06,31.73,366.9,Good
7319.9,39.61,170.57,292.44,Good
2440.85,51.5,125.21,328.09,Good
5468.92,115.44,41.37,350.05,Faulty
2837.83,57.46,39.56,389.32,Good
4400.51,45.2,175.24,307.67,Good
4600.33,71.46,149.83,247.28,Good
1886.41,57.64,133.58,152.52,Good
7771.88,33.16,84.34,80.84,Good
6313.5,59.08,56.09,277.8,Good
7546.24,78.97,195.99,398.03,Faulty
7211.21,79.65,160.46,192.27,Good
4984.25,62.09,63.85,292.23,Good
7414.06,70.26,170.28,203.09,Good
1163.69,116.9,152.99,178.45,Faulty
1969.87,63.96,62.93,170.02,Good
839.2,53.24,88.18,206.8,Good
2939.98,51.91,41.26,153.09,Good
3415.08,71.2,26.66,302.02,Good
2535.12,98.36,145.94,350.97,Good
6715.53,48.54,57.16,354.33,Good
3175.65,93.84,164.91,98.8,Good
2607.01,31.9,199.14,359.4,Faulty
4570.22,67.7,19.94,143.2,Good
1556.93,99.83,97.24,130.63,Good
6516.48,60.49,161.4,293.43,Good
1059.13,80.74,158.85,128.83,Good
7901.65,48.45,153.2,30.66,Good
6291.84,96.78,73.05,155.71,Good
1990.37,34.71,93.5,291.37,Good
541.42,106.73,121.02,137.51,Faulty
6615.96,47.84,194.92,255.53,Faulty
5801.43,108.7,68.87,267.45,Faulty
5967.55,61.73,185.01,296.16,Faulty
6284.53,95.04,57.52,359.88,Good
1055.33,58.73,197.87,178.7,Faulty
3188.49,111.53,135.7,74.91,Faulty
1369.02,41.4,95.38,134.38,Good
6973.28,46.07,124.61,178.55,Good
5174.74,74.37,58.14,288.42,Good
2981.74,37.37,58.46,15.12,Good
976.69,47.64,27.14,133.16,Good
2832.37,114.94,27.24,314.14,Faulty
2938.87,117.88,72.8,271.63,Faulty
5972.05,63.86,153.76,295.38,Good
5281.68,113.1,123.55,326.61,Faulty
7154.1,79.03,25.0,315.46,Good
4041.61,54.28,171.19,276.05,Good
1396.96,93.22,122.27,181.47,Good
5849.34,89.3,192.37,393.6,Faulty
6205.89,119.02,135.69,231.94,Faulty
4709.58,53.85,39.16,89.08,Good
6282.25,90.49,97.39,124.2,Good
4203.47,34.68,131.46,280.49,Good
4420.5,40.23,10.51,370.65,Good
3706.56,30.35,7.91,79.7,Good
690.64,119.95,30.23,42.12,Faulty
1309.19,102.2,54.07,353.8,Faulty
735.72,100.81,88.76,366.96,Faulty
5273.08,75.88,100.05,117.79,Good
2857.67,57.01,31.92,157.14,Good
4314.28,43.61,136.31,267.47,Good
7306.75,55.62,121.25,138.67,Good
2369.69,63.84,62.42,352.09,Good
