Speed (km/h),Voltage Fluctuation (V),Battery Discharge Rate (C),Ambient Temp (°C),SoC (%),Motor Power (kW),Vehicle Status
56.18,0.11,0.12,31.95,73.79,7.3,Good Condition
142.61,1.21,0.8,18.15,41.65,48.18,Good Condition
109.8,0.65,0.49,24.88,58.47,29.14,Good Condition
89.8,0.91,0.47,15.79,62.02,28.35,Good Condition
23.4,0.38,0.34,3.1,91.39,20.37,Good Condition
23.4,0.46,0.19,3.9,89.8,11.33,Good Condition
8.71,0.2,0.11,-1.12,92.69,6.7,Not Good
129.93,0.95,0.62,25.9,46.33,36.97,Good Condition
90.17,0.57,0.2,37.43,66.18,11.78,Good Condition
106.21,0.51,0.51,-3.96,58.64,30.32,Not Good
3.09,0.64,0.21,-1.69,94.96,12.53,Not Good
145.49,0.58,0.53,17.87,38.44,32.0,Good Condition
124.87,0.74,0.48,31.89,51.46,28.8,Good Condition
31.85,0.63,0.15,2.89,90.39,8.9,Good Condition
27.27,0.44,0.0,8.58,87.59,0.0,Good Condition
27.51,0.48,0.0,6.6,89.95,0.0,Good Condition
45.64,0.28,0.13,14.95,78.45,7.52,Good Condition
78.71,0.19,0.15,6.25,66.63,8.96,Good Condition
64.79,0.22,0.14,12.63,69.29,8.17,Good Condition
43.68,0.52,0.3,31.43,85.21,18.19,Good Condition
91.78,0.61,0.24,25.55,62.3,14.12,Good Condition
20.92,0.08,0.0,-0.94,94.79,0.0,Not Good
43.82,0.4,0.08,26.89,84.56,4.9,Good Condition
54.95,0.49,0.37,18.85,81.31,22.02,Good Condition
68.41,0.43,0.29,41.73,70.49,17.14,Not Good
117.78,0.81,0.53,9.47,49.74,32.04,Good Condition
29.95,0.35,0.13,31.31,92.74,7.54,Good Condition
77.14,0.48,0.08,31.54,71.32,4.62,Good Condition
88.86,0.54,0.52,6.08,67.8,31.11,Good Condition
6.97,0.47,0.08,40.16,92.34,5.07,Not Good
91.13,0.38,0.38,19.56,62.09,22.87,Good Condition
25.58,0.34,0.27,28.94,92.2,15.93,Good Condition
9.76,0.33,0.0,2.29,91.88,0.0,Good Condition
142.33,1.29,0.96,7.89,43.74,57.32,Good Condition
144.84,0.85,0.81,24.31,41.35,48.56,Good Condition
121.26,0.68,0.58,10.95,46.67,34.62,Good Condition
45.69,0.44,0.19,19.98,79.08,11.58,Good Condition
14.65,0.13,0.03,13.7,91.99,1.93,Good Condition
102.63,1.06,0.72,27.03,55.06,43.3,Good Condition
66.02,0.5,0.13,19.36,74.91,7.55,Good Condition
18.31,0.07,0.0,-4.77,90.1,0.0,Not Good
74.28,0.7,0.52,27.48,68.07,31.46,Good Condition
5.16,0.39,0.0,16.11,100.0,0.0,Good Condition
136.4,0.96,0.88,12.08,45.11,52.75,Good Condition
38.82,0.72,0.44,-0.29,83.39,26.68,Not Good
99.38,0.41,0.43,6.02,62.49,25.9,Good Condition
46.76,0.59,0.32,6.19,85.39,18.92,Good Condition
78.01,0.24,0.18,41.77,64.05,10.84,Not Good
82.01,0.88,0.52,16.63,66.68,31.3,Good Condition
27.73,0.3,0.14,-2.9,90.02,8.46,Not Good
145.44,0.92,0.87,1.94,40.01,51.98,Good Condition
116.27,0.87,0.49,-1.05,56.22,29.66,Not Good
140.92,0.46,0.48,24.44,48.34,28.88,Good Condition
134.22,0.92,0.8,4.33,50.74,47.94,Good Condition
89.68,0.27,0.1,19.93,61.79,5.82,Good Condition
138.28,0.76,0.69,13.5,41.95,41.3,Good Condition
13.27,0.64,0.2,35.19,99.27,12.08,Good Condition
29.4,0.51,0.15,11.02,87.83,8.86,Good Condition
6.78,0.34,0.34,17.91,94.37,20.68,Good Condition
48.8,0.7,0.38,31.06,82.55,22.99,Good Condition
58.3,0.4,0.15,16.67,74.52,9.24,Good Condition
40.7,0.61,0.18,34.66,81.39,10.52,Good Condition
124.31,0.74,0.64,28.08,54.07,38.66,Good Condition
53.51,0.29,0.0,15.53,75.22,0.0,Good Condition
42.14,0.27,0.02,20.2,78.79,1.28,Good Condition
81.4,0.51,0.3,43.36,65.13,17.94,Not Good
21.14,0.23,0.0,28.08,92.61,0.0,Good Condition
120.33,0.67,0.64,40.25,48.1,38.11,Not Good
11.18,0.38,0.0,3.94,95.24,0.0,Good Condition
148.03,0.7,0.53,19.16,42.06,31.53,Good Condition
115.84,1.08,0.67,40.43,57.15,40.0,Not Good
29.81,0.34,0.24,11.13,85.38,14.21,Good Condition
0.83,0.38,0.04,43.38,100.0,2.37,Not Good
122.32,1.0,0.59,-0.15,48.42,35.15,Not Good
106.03,0.91,0.64,40.13,59.36,38.25,Not Good
109.35,1.04,0.67,17.26,55.57,40.36,Good Condition
115.69,1.0,0.65,-1.31,49.87,38.98,Not Good
11.11,0.18,0.0,38.98,97.7,0.0,Good Condition
53.77,0.56,0.28,7.6,75.67,17.08,Good Condition
17.38,0.31,0.26,-3.89,89.81,15.65,Not Good
129.47,0.79,0.59,1.79,46.8,35.13,Good Condition
93.49,0.85,0.81,27.96,64.14,48.78,Good Condition
49.63,0.49,0.13,43.89,77.49,7.75,Not Good
9.53,0.3,0.04,0.57,93.02,2.12,Good Condition
46.65,0.29,0.09,18.1,76.44,5.35,Good Condition
48.78,0.36,0.25,4.03,80.21,14.97,Good Condition
109.44,0.74,0.27,32.25,55.51,16.17,Good Condition
95.63,0.38,0.39,0.9,59.09,23.11,Good Condition
133.08,0.5,0.53,6.99,42.3,31.55,Good Condition
70.83,0.43,0.35,4.82,70.96,21.28,Good Condition
17.94,0.69,0.23,22.63,95.71,13.78,Good Condition
106.99,1.08,0.65,38.66,59.36,39.15,Good Condition
114.12,0.5,0.19,20.55,57.96,11.6,Good Condition
84.19,1.11,0.75,-2.09,61.42,44.94,Not Good
115.65,0.69,0.65,23.17,58.41,38.84,Good Condition
74.07,0.68,0.22,34.88,68.79,13.26,Good Condition
78.41,0.43,0.4,1.61,73.54,24.08,Good Condition
64.13,0.34,0.32,-1.36,71.87,19.45,Not Good
3.81,0.06,0.0,4.39,98.19,0.0,Good Condition
16.18,0.37,0.09,32.3,92.07,5.37,Good Condition
4.71,0.39,0.0,24.58,96.67,0.0,Good Condition
95.46,0.55,0.41,22.03,65.24,24.46,Good Condition
47.15,0.57,0.09,7.47,83.6,5.37,Good Condition
76.29,0.33,0.12,11.61,74.41,7.46,Good Condition
136.13,0.75,0.75,43.29,46.68,45.1,Not Good
37.39,0.46,0.25,7.03,84.68,15.11,Good Condition
61.56,0.67,0.37,40.08,71.28,21.99,Not Good
113.33,1.06,0.72,24.03,59.63,43.23,Good Condition
34.32,0.4,0.19,1.16,86.79,11.6,Good Condition
11.55,0.3,0.0,18.37,97.39,0.0,Good Condition
43.46,0.43,0.32,42.43,81.68,19.49,Not Good
24.18,0.32,0.0,15.93,90.8,0.0,Good Condition
139.45,1.03,0.6,38.17,48.64,35.92,Good Condition
121.22,0.45,0.47,7.82,48.18,28.33,Good Condition
95.01,1.03,0.65,23.55,59.92,39.15,Good Condition
130.72,1.05,0.85,37.19,44.23,51.0,Good Condition
120.55,0.76,0.71,41.03,54.7,42.59,Not Good
27.99,0.74,0.29,19.29,84.43,17.26,Good Condition
133.88,0.75,0.57,26.98,42.26,33.99,Good Condition
80.9,0.57,0.45,-4.85,65.62,26.86,Not Good
